iter	Passed	Remaining
661	5992	3059
662	5995	3047
663	6011	3041
664	6013	3029
665	6024	3021
666	6030	3010
667	6041	3002
668	6044	2990
669	6112	3010
670	6115	2998
671	6117	2985
672	6121	2974
673	6127	2963
674	6130	2951
675	6132	2939
676	6135	2927
677	6139	2915
678	6165	2914
679	6171	2904
680	6175	2892
681	6177	2880
682	6180	2868
683	6184	2856
684	6188	2845
685	6190	2833
686	6192	2821
687	6195	2809
688	6204	2800
689	6207	2788
690	6209	2776
691	6212	2765
692	6217	2754
693	6219	2742
694	6222	2730
695	6225	2719
696	6231	2709
697	6234	2697
698	6236	2685
699	6239	2674
700	6247	2664
701	6252	2654
702	6254	2642
703	6263	2633
704	6265	2621
705	6267	2610
706	6270	2598
707	6280	2590
708	6282	2578
709	6284	2566
710	6286	2555
711	6297	2547
712	6300	2536
713	6312	2528
714	6314	2516
715	6317	2505
716	6319	2494
717	6330	2486
718	6331	2474
719	6333	2463
720	6341	2454
721	6343	2442
722	6346	2431
723	6348	2420
724	6358	2412
725	6360	2400
726	6362	2389
727	6365	2378
728	6372	2368
729	6375	2358
730	6377	2346
731	6379	2335
732	6385	2325
733	6389	2315
734	6391	2304
735	6393	2293
736	6396	2282
737	6398	2271
738	6400	2260
739	6403	2250
740	6410	2240
741	6413	2230
742	6415	2219
743	6417	2208
744	6418	2197
745	6427	2188
746	6429	2177
747	6431	2166
748	6433	2156
749	6439	2146
750	6441	2135
751	6442	2124
752	6445	2114
753	6448	2104
754	6455	2094
755	6458	2084
756	6460	2073
757	6462	2063
758	6464	2052
759	6467	2042
760	6470	2032
761	6471	2021
762	6475	2011
763	6481	2002
764	6483	1991
765	6485	1981
766	6488	1971
767	6490	1960
768	6495	1951
769	6499	1941
770	6500	1930
771	6502	1920
772	6511	1912
773	6513	1901
774	6515	1891
775	6517	1881
776	6527	1873
777	6529	1863
778	6531	1853
779	6537	1843
780	6542	1834
781	6544	1824
782	6546	1814
783	6548	1804
784	6556	1795
785	6558	1785
786	6560	1775
787	6562	1765
788	6567	1756
789	6572	1747
790	6574	1737
791	6576	1727
792	6578	1717
793	6587	1709
794	6589	1699
795	6591	1689
796	6593	1679
797	6597	1670
798	6604	1661
799	6609	1652
800	6615	1643
801	6618	1634
802	6620	1624
803	6622	1614
804	6655	1612
805	6657	1602
806	6670	1595
807	6677	1586
808	6681	1577
809	6685	1568
810	6687	1558
811	6695	1550
812	6698	1540
813	6701	1531
814	6703	1521
815	6712	1513
816	6714	1504
817	6717	1494
818	6721	1485
819	6729	1477
820	6732	1467
821	6735	1458
822	6743	1450
823	6745	1440
824	6746	1431
825	6748	1421
826	6750	1412
827	6760	1404
828	6763	1395
829	6766	1385
830	6772	1377
831	6778	1368
832	6781	1359
833	6783	1350
834	6792	1342
835	6795	1333
836	6797	1323
837	6801	1314
838	6805	1305
839	6807	1296
840	6810	1287
841	6818	1279
842	6820	1270
843	6829	1262
844	6833	1253
845	6839	1245
846	6841	1235
847	6844	1226
848	6850	1218
849	6852	1209
850	6855	1200
851	6856	1191
852	6859	1182
853	6869	1174
854	6874	1165
855	6876	1156
856	6888	1149
857	6889	1140
858	6892	1131
859	6895	1122
860	6897	1113
861	6899	1104
862	6901	1095
863	6903	1086
864	6909	1078
865	6912	1069
866	6915	1060
867	6917	1052
868	6921	1043
869	6925	1034
870	6927	1025
871	6929	1017
872	6930	1008
873	6934	999
874	6938	991
875	6940	982
876	6942	973
877	6950	965
878	6954	957
879	6957	948
880	6963	940
881	6966	931
882	6969	923
883	6973	915
884	6982	907
885	6983	898
886	6985	889
887	6987	881
888	6995	873
889	7000	865
890	7003	856
891	7016	849
892	7026	841
893	7031	833
894	7033	825
895	7044	817
896	7048	809
897	7050	800
898	7061	793
899	7063	784
900	7066	776
901	7070	768
902	7075	760
903	7078	751
904	7081	743
905	7090	735
906	7092	727
907	7095	718
908	7097	710
909	7106	702
910	7108	694
911	7110	686
912	7113	677
913	7118	669
914	7127	662
915	7133	654
916	7137	646
917	7140	637
918	7143	629
919	7150	621
920	7153	613
921	7155	605
922	7171	598
923	7173	590
924	7185	582
925	7187	574
926	7189	566
927	7198	558
928	7200	550
929	7203	542
930	7206	534
931	7215	526
932	7217	518
933	7220	510
934	7223	502
935	7226	494
936	7232	486
937	7236	478
938	7246	470
939	7259	463
940	7262	455
941	7265	447
942	7268	439
943	7274	431
944	7276	423
945	7279	415
946	7286	407
947	7289	399
948	7291	391
949	7295	383
950	7299	376
951	7302	368
952	7305	360
953	7307	352
954	7312	344
955	7314	336
956	7316	328
957	7319	320
958	7324	313
959	7347	306
960	7350	298
961	7355	290
962	7357	282
963	7360	274
964	7363	267
965	7368	259
966	7370	251
967	7373	243
968	7375	235
969	7391	228
970	7393	220
971	7404	213
972	7410	205
973	7423	198
974	7425	190
975	7434	182
976	7437	175
977	7440	167
978	7453	159
979	7483	152
980	7487	145
981	7490	137
982	7494	129
983	7501	121
984	7512	114
985	7515	106
986	7522	99
987	7527	91
988	7531	83
989	7547	76
990	7558	68
991	7560	60
992	7563	53
993	7575	45
994	7579	38
995	7588	30
996	7592	22
997	7597	15
998	7608	7
999	7612	0
